IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP66;IP_PROP32;IP_PROP33;IP_PROP36;IP_PROP37;IP_PROP67;IC_GROUP0;IC_GROUP1;IC_GROUP2;CR_PRICE_1_USD
188;Куриная-барбекю;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;;;190;;/upload/iblock/b69/b6926aa1ed1356b6a0bbcf1c36acd329.jpg;;;;;;10.26
189;Куриная-барбекю;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;;;190;;/upload/iblock/5f2/5f2b1969c8e495392ec4e3671c28db34.jpg;;;;;;11.8
191;Капри-Бианко;соус Цезарь, сыр моцарелла, ветчина, шампиньоны;;;192;;/upload/iblock/db8/db838608222eab1e90a9749a2661158f.jpg;;;;;;7.64
193;Капри-Бианко;соус Цезарь, сыр моцарелла, ветчина, шампиньоны;;;192;;/upload/iblock/08d/08d1c9ab6ee8b4b76bd3586c0da4bc20.jpg;;;;;;9.18
194;Дядя Пицца;;;;-9;;/upload/iblock/598/598423c3113ca50c9c895fadda3ea5a6.jpg;;;;;;9.95
195;Дядя Пицца;;;;-9;;/upload/iblock/997/997af5f47efc9617f00a1a4334b662c0.jpg;;;;;;12.27
200;Везувий;;;;-18;;;;;;;;5.94
201;Везувий;неаполитанский соус, базилик, сыр моцарелла, ветчина;;;-18;;/upload/iblock/45e/45ed67f46de6359fe2c81e0251bf70f6.jpg;;;;;;7.64
204;Везувий;;;;-22;;;;;;;;5.94
205;Везувий;;;;-22;;/upload/iblock/d48/d48a61ba568f72db62844a5fb6a152e8.jpg;;;;;;7.48
207;Везувий;неаполитанский соус, базилик, сыр моцарелла, ветчина;;;-24;;/upload/iblock/16e/16e3954e8580a2550496429a19ceb876.jpg;;;;;;5.94
208;Везувий;неаполитанский соус, базилик, сыр моцарелла, ветчина;;;-24;;;;;;;;7.48
209;Маргарита;неаполитанский соус, базилик, сыр моцарелла, помидоры;;;211;;/upload/iblock/1ab/1ab04e1fc4af623695bc451b13e2826c.jpg;;;;;;5.79
210;Маргарита;неаполитанский соус, базилик, сыр моцарелла, помидоры;;;211;;/upload/iblock/bcd/bcda10f827552c0f41b68991d55a1fee.jpg;;;;;;7.33
212;Дядя Пицца;красный соус, базилик, сыр моцарелла, помидоры черри, корн, окорок прошутто, руккола, маслины, сыр пармезан;;;214;;/upload/iblock/d83/d83ca6ff3b9cab57f4499e0909e421dc.jpg;;;;;;9.95
