IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP65;IP_PROP1;IP_PROP2;IP_PROP19;IP_PROP4;IP_PROP3;IP_PROP5;IP_PROP6;IP_PROP7;IP_PROP8;IP_PROP9;IP_PROP10;IP_PROP11;IP_PROP12;IP_PROP14;IP_PROP59;IP_PROP13;IP_PROP15;IP_PROP16;IP_PROP18;IP_PROP17;IP_PROP60;IP_PROP20;IP_PROP21;IP_PROP22;IC_GROUP0;IC_GROUP1;IC_GROUP2
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;488;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;489;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;490;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;491;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;492;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;493;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;494;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;495;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;496;;;;;;Нет;;665;765;Пицца;;
190;Куриная-барбекю;190;Y;;;/upload/iblock/8f6/8f6c096a93e391be8a04d7bc4ce3bd03.jpg;неаполитанский соус, курица, болгарский перец, красный лук, шампиньоны, бекон, лук-порей фри, сыр моцарелла, соус барбекю;text;;;text;kurinaya_barbekyu;1500;;;;;;;;;;;;;;;;4;497;;;;;;Нет;;665;765;Пицца;;
